names	edited_features	longest_gene_isoform
AT3G60720	9	2105
AT4G03816	1	4925
AT3G05700	201	2780
AT1G51400	830	559
AT5G01135	1	154
AT1G73110	73	2848
AT4G03940	19	2036
AT3G47890	984	7001
AT4G23740	1022	3256
AT2G32440	197	3438
AT4G36970	704	1941
AT2G38610	196	2828
AT3G23325	302	1372
AT5G44750	809	7562
AT1G64355	90	1341
AT3G44820	111	3461
AT5G47910	314	5020
AT4G17420	270	2353
AT3G20660	100	3760
AT3G09000	330	2991
AT3G23330	198	2352
AT3G60660	116	2133
AT5G36690	14	2103
AT4G01670	16	1451
AT1G13450	338	2528
AT3G17320	23	1229
AT3G57420	396	3128
AT4G00200	609	2461
AT3G01870	95	2095
AT3G12760	1497	4116
AT4G22360	1145	2860
AT1G70340	390	2711
AT5G24275	6	4320
AT5G62400	9	1050
AT1G32200	250	3503
AT3G62560	590	1859
AT1G57860	4155	1084
AT4G20330	373	2004
AT1G71830	844	3959
AT4G21920	1	843
AT1G14850	1459	7036
AT4G28390	207	2059
AT2G44300	49	1271
AT3G01580	66	2350
AT3G29270	458	2285
AT1G03080	1756	6714
AT4G36110	5	939
AT1G19500	2	1019
AT1G60140	507	4806
AT2G04040	1	2280
AT2G43190	132	2263
AT3G15635	203	390
AT1G47240	234	2702
AT5G63690	13	927
AT1G05230	682	5999
AT2G07783	12	1503
AT1G64790	2430	18414
AT5G62998	1	113
AT3G05730	4	1552
AT5G05630	62	2203
AT5G65810	347	2200
AT2G35000	3	1778
AT3G30841	185	2173
AT5G08330	322	1592
AT3G28290	5	1960
AT5G12240	415	2159
AT1G50120	455	4529
AT1G23500	10	1404
AT4G35000	1512	2997
AT5G08090	2	1188
AT2G25905	1	1223
AT5G07120	293	2662
AT5G17260	33	2991
AT1G60920	1	669
AT4G26860	218	1823
AT4G03925	2	155
AT2G35530	542	3773
AT2G33510	207	1645
AT1G04295	144	654
AT4G20280	441	1536
AT3G20210	8371	2396
AT1G16880	578	2796
AT5G19970	2	2168
AT2G32560	179	2597
AT4G39790	104	2792
AT1G72470	102	2345
AT2G07682	2	4887
AT5G05680	349	4389
AT5G28390	94	973
AT1G06957	7	282
AT3G19330	122	2033
AT2G03821	2	903
AT1G10850	1945	3123
AT2G07775	4	1027
AT3G19210	189	6268
AT4G26160	200	1628
AT2G38430	87	2569
AT4G14040	41	2745
AT1G10155	292	2623
AT4G31408	32	1300
AT1G55980	196	2985
AT5G04680	55	3176
AT4G02180	3	3714
AT5G13600	64	2065
AT3G44430	583	1493
AT2G02130	612	809
AT4G14990	608	4249
AT1G05805	217	3290
AT1G31490	79	2066
AT1G35830	11	1836
AT1G55050	95	4021
AT2G27530	8412	1718
AT1G16460	747	3092
AT4G30800	743	1711
AT1G12064	1	597
AT1G65040	553	3984
AT1G23760	65	2493
AT5G25290	1	1247
AT4G28320	161	2140
AT3G50665	1	71
AT4G09570	572	2939
AT2G24530	147	2561
AT4G18080	1	736
AT2G09710	93	425
AT3G03190	1	1095
AT3G04790	370	991
AT3G09145	4	344
AT5G34908	100	248
AT1G72750	595	1204
AT5G08390	711	6314
AT2G35510	799	3792
AT5G27280	148	1041
AT3G59430	166	3246
AT5G12380	313	1519
AT3G48930	8497	1510
AT3G11590	672	3436
AT3G20690	1	1112
AT3G26850	228	2464
AT1G34630	177	2465
AT2G08740	1	296
AT1G26360	1	2405
AT1G16570	361	3023
AT1G24310	639	2391
AT2G07345	87	212
AT4G34870	13725	1109
AT2G30270	132	1440
AT3G28780	2	2604
AT2G30615	110	1501
AT3G25230	3601	3534
AT1G75510	496	1778
AT5G37240	18	2477
AT1G62020	2634	4537
AT4G35090	407	3192
AT4G13370	568	2573
AT1G02190	7169	2953
AT2G18876	138	2977
AT5G58580	7	1547
AT5G54530	175	1742
AT3G49170	237	2783
AT1G11125	140	1180
AT1G11990	1	3059
AT2G29340	459	2281
AT5G55210	523	1020
AT5G18810	63	2681
AT1G17920	505	3950
AT1G47820	181	708
AT3G46820	254	2579
AT1G50510	505	3224
AT4G21105	1864	1577
AT2G34310	168	2478
AT4G23130	16	2723
AT4G05475	2	1995
AT2G22821	8	828
AT3G49850	244	2003
AT3G25290	1468	1792
AT4G25170	127	2117
AT1G64625	36	2737
AT1G80840	86	1938
AT1G04073	4	232
AT2G47485	86	1024
AT5G01265	26	311
AT3G53730	2758	1130
AT5G60450	168	4529
AT3G09760	259	3040
AT3G26932	717	2253
AT2G43820	1	1830
AT1G59750	878	5118
AT1G74020	57	2320
AT1G16040	239	2451
AT4G23800	5091	2543
AT5G46900	1	755
AT1G32460	431	1208
AT5G08290	1841	1348
AT4G32580	15	898
AT1G23180	265	3920
AT1G76830	115	1261
AT1G29330	555	2984
AT3G16560	103	3202
AT5G46750	847	2245
AT3G53880	262	2174
AT5G63110	1048	2841
AT5G12080	1147	3897
AT4G33330	1	3316
AT4G13450	2	1256
AT5G20260	39	2828
AT1G11130	1169	4742
AT1G27920	177	3193
AT1G75530	2	2506
AT1G10110	8	1374
AT2G20400	157	2932
AT5G63060	49	1942
AT1G58160	2	716
AT1G78300	2672	1998
AT5G16340	90	2102
AT5G01090	1845	1596
AT5G04230	43	3388
AT4G34680	85	1727
AT1G10530	13	1218
AT1G76750	267	681
AT1G80210	167	2626
AT4G01935	155	1307
AT4G03090	743	5268
AT3G58760	131	3785
AT5G48520	438	5233
AT5G62720	212	3669
AT5G42680	50	1318
AT2G21185	391	611
AT4G33640	394	846
AT1G18670	169	4384
AT4G29280	1	383
AT2G19110	496	7772
AT1G11175	120	797
AT4G22755	7	1901
AT4G28160	17	685
AT1G64065	6	1274
AT5G64370	420	2091
AT1G36992	171	845
AT2G45000	1068	3875
AT5G25510	1081	2370
AT5G47710	793	1861
AT2G28640	1	2561
AT5G07810	250	7342
AT1G54060	634	1764
AT1G27420	45	1649
AT1G64980	340	1920
AT4G37450	538	1512
AT3G26740	2210	1235
AT2G21195	122	765
AT5G22010	1006	7113
AT5G27550	579	4104
AT2G40205	1368	447
AT5G17030	3	1760
AT2G36307	227	1375
AT1G06430	291	3131
AT5G20620	2779	1956
AT3G01995	191	757
AT2G03730	195	2632
AT5G60490	25	1370
AT5G51950	198	2801
AT3G21055	1487	754
AT5G17850	66	2305
AT1G27210	519	2899
AT5G15090	2767	2639
AT4G33130	246	1824
AT4G08155	2	84
AT1G49520	98	2443
AT4G20290	9	425
AT5G40580	999	2639
AT1G12650	423	2216
AT2G31370	591	2832
AT4G40070	13	1558
AT5G07710	97	2521
AT5G62540	515	1685
AT4G16280	380	8228
AT4G26120	2	2565
AT4G25360	461	3085
AT2G24490	690	3121
AT2G37680	251	2430
AT5G27100	111	3385
AT1G03106	1	933
AT5G45610	143	3660
AT3G01475	38	611
AT4G23660	240	4201
AT4G00110	248	1818
AT4G09060	249	2770
AT2G43690	93	2808
AT3G46880	1	1032
AT1G62720	25	1618
AT4G09180	113	2451
AT3G17440	605	3007
AT2G28020	5	358
AT2G36240	405	1724
AT3G21215	606	3861
AT3G04590	361	2951
AT1G78915	158	3656
AT5G41380	33	2454
AT3G51238	152	1669
AT1G10590	1423	1556
AT3G03300	429	8288
AT5G42560	631	2405
AT3G12100	133	2832
AT5G17690	697	2613
AT5G58140	539	9286
AT1G72820	650	1860
AT5G48960	461	4161
AT3G13470	1488	3800
AT5G02575	42	289
AT4G03600	18	990
AT3G29633	5	988
AT1G27360	191	3129
AT2G42750	181	2463
AT1G07660	2487	902
AT2G28290	4432	17066
AT1G31935	16	528
AT4G13120	331	2498
AT4G37130	472	2657
AT4G15920	19	3162
AT5G48205	2	1780
AT2G01175	4	1407
AT5G43518	54	495
AT3G26380	734	3319
AT1G20350	368	964
AT1G15060	343	3716
AT2G47480	31	791
AT1G45120	138	4400
AT3G23550	2	2526
AT5G02740	723	2424
AT5G09185	36	264
AT5G27238	21	530
AT3G02495	159	724
AT5G64160	243	1780
AT5G61170	4755	1532
AT3G23940	1171	3936
AT3G49140	371	3880
AT3G01515	197	460
AT2G28450	509	3949
AT2G38290	238	3091
AT1G53350	125	3291
AT5G63200	383	4136
AT3G55800	937	2346
AT1G23465	21	1180
AT1G20300	300	1906
AT1G58400	6	3996
AT1G28600	6	2261
AT5G13340	137	1947
AT5G20080	1156	4336
AT5G08855	21	482
AT3G22470	96	2036
AT4G35987	102	2363
AT5G08370	116	2706
AT2G36470	18	1959
AT4G32140	355	2748
AT4G12680	58	3252
AT1G68990	598	5999
AT4G19640	815	2550
AT3G03325	1	437
AT5G22390	4	1240
AT4G05655	3	350
AT5G22770	1306	9166
AT5G63470	657	1599
AT5G65520	180	875
AT5G55505	1	72
AT5G64910	43	3403
AT1G70480	393	2236
AT3G14550	68	2924
AT2G29620	1	3392
AT5G17220	42	1245
AT2G21250	488	2051
AT2G38500	17	1792
AT4G02200	228	1985
AT3G45850	800	6029
AT2G14230	9	2194
AT5G18040	320	1848
AT1G05083	14	697
AT1G07370	1031	1516
AT3G07520	62	3400
AT4G15550	49	1737
AT4G35350	34	1595
AT5G60240	16	246
AT3G08395	2	232
AT3G20800	589	2876
AT5G64440	450	4906
AT4G19500	593	4871
AT1G01810	35	652
AT2G44100	2198	3539
AT4G17950	1379	2512
AT2G41350	224	2706
AT2G34620	244	1299
AT1G75170	527	2221
AT1G22710	255	2569
AT1G29290	3	1421
AT1G01090	2164	2070
AT4G11220	946	2125
AT3G53320	315	3303
AT4G30730	58	522
AT3G20310	461	2167
AT1G76440	321	1701
AT4G13980	272	2505
AT1G49360	270	2217
AT4G11920	221	3184
AT1G51960	42	1509
AT5G57880	43	3282
AT1G68910	284	3231
AT5G13730	8	1806
AT2G28370	396	2228
AT1G26590	6	1951
AT3G60010	1	687
AT4G28770	406	2114
AT3G63210	724	1966
AT5G09490	1	1029
AT4G14180	114	5895
AT1G08620	869	7225
AT5G10150	799	2172
AT2G02720	14	2100
AT3G25250	3	1792
AT1G22015	301	2525
AT5G44800	1885	10630
AT1G49630	452	7904
AT5G59830	350	2200
AT1G32790	1374	3031
AT5G27450	406	2797
AT5G24155	2	1404
AT5G39030	1	2809
AT4G33260	1360	2543
AT4G13880	50	2810
AT5G61820	63	2633
AT3G54290	516	1863
AT5G24490	1067	1859
AT1G72010	280	1717
AT4G08685	456	966
AT1G21740	191	4334
AT2G42260	186	1833
AT5G54890	102	1819
AT3G07030	812	2956
AT3G30214	140	1023
AT1G80555	1	785
AT5G47550	734	865
AT1G04433	369	330
AT1G53920	34	2179
AT2G22230	448	1693
AT4G22820	298	1438
AT2G35733	2	191
AT5G20920	2287	2496
AT3G13850	1	1401
AT5G67488	608	999
AT1G28960	169	2238
AT3G48205	69	659
AT5G09570	34	1724
AT4G29080	750	2065
AT3G05910	324	3590
AT3G08010	238	1535
AT5G11720	469	3532
AT5G55840	100	4767
AT3G20640	43	3164
AT5G04410	1615	3000
AT3G59500	401	1863
AT4G24190	13720	4506
AT1G06470	343	4868
AT4G03140	99	1721
AT4G18370	100	2267
AT1G20795	10	1256
AT2G25560	323	3387
AT3G16070	11	830
AT3G61060	105	1766
AT1G19690	176	1927
AT1G52500	626	3233
AT1G35190	68	2551
AT1G47640	851	2082
AT5G40800	3	1436
AT5G02155	2	373
AT5G51310	1	2100
AT1G03590	932	3480
AT5G28262	12	1223
AT5G19530	315	2534
AT3G57600	4	1144
AT2G33205	99	2888
AT1G05150	1305	2960
AT2G42710	661	2782
AT3G15880	2238	8208
AT4G37030	72	3123
AT5G09900	1848	3742
AT1G74580	238	3339
AT1G19370	495	2331
AT3G21710	1	1578
AT4G36660	345	1775
AT4G38090	172	1142
AT4G21740	136	1085
AT5G62000	6467	5204
AT5G67490	682	799
AT1G10950	3143	5060
AT5G66110	2	1149
AT2G44410	441	2098
AT3G53480	12	6613
AT3G11990	362	652
AT3G60910	143	1828
AT2G31060	1140	5624
AT1G47470	193	603
AT5G39590	625	2601
AT1G57777	200	563
AT3G16130	529	2528
AT1G69310	15	4108
AT3G07230	1287	758
AT2G33460	496	1821
AT2G41020	176	3905
AT2G07750	71	4060
AT3G08940	1626	1366
AT1G72000	6	2386
AT1G29900	1869	4255
AT2G03740	1	1263
AT3G28460	200	2415
AT1G14970	232	3536
AT4G31370	4	1030
AT2G14560	12	2315
AT5G16960	2	2210
AT4G08225	160	615
AT2G27340	226	2629
AT1G66840	77	2735
AT2G41050	150	3294
AT1G09067	1	240
AT2G33000	5	2402
AT1G05030	115	3844
AT1G80760	32	1669
AT1G04580	401	5888
AT2G08335	57	230
AT5G54900	1923	3026
AT3G52360	62	1039
AT1G47200	1512	998
AT5G46530	46	1546
AT2G33835	152	3002
AT5G17460	74	2744
AT2G26800	263	3778
AT3G19230	11	2758
AT3G04140	30	2900
AT5G61650	6	1798
AT3G05630	16	5163
AT1G55760	146	2182
AT1G62790	364	1603
AT2G26330	4371	6582
AT1G21200	247	2525
AT5G23940	7673	3554
AT1G69540	9	2750
AT4G31405	3	1666
AT4G30097	20	143
AT3G05640	80	2903
AT4G10010	2	3429
AT2G17210	56	2210
AT4G02130	272	2925
AT1G05363	1	236
AT1G04030	554	2517
AT5G56900	699	3520
AT3G14420	363	2787
AT1G07320	1119	1562
AT1G04230	456	3273
AT3G16460	12	3421
AT1G45244	3	71
AT5G60000	222	486
AT5G23150	993	7156
AT5G20820	2	699
AT1G08393	1	305
AT5G66680	3630	3305
AT5G09585	16	194
AT2G20142	3	1269
AT4G27470	146	1596
AT5G22875	129	1269
AT5G66980	3	1283
AT5G67560	601	2179
AT1G08973	27	1881
AT3G24230	642	3071
AT4G09730	803	3467
AT3G02850	3	4061
AT5G05250	11	1499
AT5G50630	250	2123
AT5G46760	990	2568
AT5G39760	226	1510
AT1G05490	4719	4985
AT3G20410	598	3325
AT5G06220	630	5741
AT1G08200	2383	3026
AT4G28811	1	2863
AT3G17365	52	1951
AT5G38480	3317	1917
AT4G26180	54	2141
AT1G53190	320	3260
AT1G62310	383	6384
AT1G61780	317	1589
AT5G43270	273	3587
AT4G22170	8	1295
AT5G44670	325	2603
AT1G55080	246	1349
AT4G19700	420	1335
AT1G64280	36	2910
AT5G47430	971	5708
AT3G16785	485	8273
AT4G22580	172	1710
AT1G60530	96	1370
AT2G27590	296	2358
AT1G23230	1158	7519
AT5G19570	186	757
AT5G14550	249	3049
AT1G29780	5	665
AT1G59990	386	3147
AT3G58350	10	1529
AT2G24070	70	4176
AT3G50390	1	1671
AT2G22620	330	5889
AT4G16144	262	3983
AT1G22020	399	3748
AT1G73560	60	776
AT4G19220	40	2855
AT2G02450	6	3282
AT4G29550	11	1635
AT1G55140	150	1977
AT4G19090	55	2897
AT2G01100	826	1853
AT1G67440	305	2104
AT1G52825	87	664
AT3G01710	177	2244
AT2G07623	5	940
AT3G06500	652	3838
AT4G10380	20	4235
AT1G56620	77	607
AT1G17380	153	2356
AT1G28650	1	1743
AT1G32340	268	3112
AT3G49142	66	2096
AT1G31040	167	3054
AT1G09783	90	1581
AT3G16490	198	1917
AT2G43330	330	3373
AT5G42210	35	5117
AT1G09320	367	2517
AT5G16070	1492	3825
AT3G05420	1194	5665
AT5G39840	333	2856
AT5G19480	222	2122
AT3G07350	46	1605
AT2G40980	567	2712
AT3G57400	59	2005
AT3G18770	171	3285
AT3G61780	672	4192
AT4G16370	326	3041
AT1G77000	797	2492
AT1G63020	550	7904
AT5G20700	1351	1835
AT5G26880	596	1530
AT1G07807	14	333
AT3G12502	3	1098
AT1G63730	81	3362
AT3G24320	399	6804
AT4G22745	636	1594
AT4G16390	467	2459
AT4G29033	8	460
AT4G39925	48	643
AT3G13090	7	5450
AT5G05940	199	2755
AT4G06315	3	88
AT4G24310	1	923
AT1G45050	153	2058
AT2G39700	616	1914
AT5G58050	241	3352
AT4G19470	1	1346
AT1G59970	74	1579
AT4G26485	6	819
AT5G49770	1	4797
AT5G04110	331	4665
AT5G61120	956	3593
AT5G36170	362	2237
AT2G45350	7	1875
AT5G13830	30	1176
AT3G62650	736	1126
AT3G01360	259	2332
AT3G59680	33	2128
AT3G56710	19	1426
AT1G09815	541	941
AT2G45250	319	1604
AT2G47930	111	706
AT4G33160	105	1698
AT3G22380	4551	6802
AT5G63220	181	2517
AT2G27310	4	1570
AT1G09517	24	617
AT1G20590	273	1299
AT2G37760	110	2265
AT2G21620	346	1786
AT3G10970	366	3592
AT1G17590	87	2464
AT1G77093	5	856
AT1G11260	2413	3587
AT1G29050	201	2982
AT5G53550	164	3682
AT1G05950	479	3269
AT1G08463	28	229
AT1G02610	16	3133
AT1G09380	1	3487
AT2G33890	8	71
AT2G28650	292	1940
AT3G12981	9	1116
AT1G26225	3	201
AT3G46660	69	1903
AT1G78620	347	2144
AT5G40130	445	359
AT5G58780	2	1715
AT3G57060	974	6340
AT1G03495	47	1310
AT1G04353	245	1944
AT5G07335	3	152
AT3G02915	11	205
AT5G50530	60	3569
AT1G01240	152	2121
AT5G66675	166	2225
AT4G28490	67	3781
AT2G07737	3	981
AT4G20835	371	1569
AT1G15500	2942	2585
AT5G08265	4	249
AT1G22065	2	769
AT1G13340	19	1781
AT2G04485	3	246
AT1G17550	828	3128
AT1G69570	127	2187
AT3G04810	625	4049
AT3G43510	299	1506
AT3G03740	937	4792
AT3G17230	201	603
AT3G06240	415	1764
AT3G60290	41	2283
AT1G14090	172	3075
AT5G01290	366	4272
AT5G59160	1291	2604
AT1G33850	5	297
AT3G30300	1459	3478
AT3G13229	10	1309
AT5G60410	1331	6453
AT4G30190	1830	5852
AT2G25070	477	2856
AT4G14000	586	2808
AT3G05355	41	86
AT1G73260	7	1184
AT3G57700	24	1022
AT4G35500	30	2590
AT1G71010	2021	6925
AT1G67500	342	9632
AT5G47140	235	3056
AT2G20230	884	2201
AT5G49990	737	4449
AT3G12690	96	2993
AT3G01820	254	1970
AT5G24830	186	2952
AT3G27750	127	1066
AT5G27080	3	1328
AT2G40910	1	1816
AT2G30505	111	1904
AT1G29160	164	1122
AT3G09180	443	2401
AT5G15800	1674	2919
AT5G24060	291	3322
AT1G35537	11	466
AT4G30590	401	978
AT5G28500	289	1828
AT3G07175	8	304
AT5G14890	20	2604
AT2G24790	1829	1309
AT3G60480	84	900
AT4G22410	242	8110
AT3G30160	2	1727
AT3G59930	39	828
AT4G04180	243	3572
AT2G24285	7	622
AT4G21520	200	3137
AT4G23680	1043	1465
AT4G05120	119	2619
AT1G79550	4726	2613
AT1G44770	346	2035
AT2G27730	2032	2308
AT1G26930	392	1881
AT1G65150	3597	1989
AT1G54170	738	5026
AT2G04635	1	284
AT5G20380	255	4935
AT3G26370	944	3265
AT2G30920	261	3753
AT4G40050	681	3127
AT5G16770	1	2436
AT4G28790	6	2784
AT1G57790	33	1614
AT5G20165	425	1795
AT2G34224	2	588
AT2G01340	49	1336
AT3G54090	284	2003
AT3G57110	9	756
AT1G11400	272	3469
AT3G06755	3	233
AT5G62840	49	1599
AT2G38210	160	973
AT4G35780	282	4251
AT1G55540	695	8742
AT5G56780	83	2165
AT3G50590	1654	8630
AT1G55480	158	2112
AT1G06920	10	1226
AT1G11270	77	6643
AT2G13295	5	547
AT1G76880	1765	2911
AT5G64685	50	2030
AT4G27680	481	2389
AT2G27030	1228	2391
AT1G73850	118	3663
AT5G40740	722	4633
AT2G17530	242	2824
AT3G56300	58	2350
AT3G26710	180	1529
AT1G67810	1	1227
AT3G08885	8	1480
AT2G42920	445	4811
AT1G09590	6459	1434
AT3G61182	32	444
AT4G21790	1098	3071
AT2G27690	17	2001
AT2G20140	985	2544
AT4G04480	1	1202
AT1G30760	1	2431
AT1G02580	64	4469
AT5G47620	325	2680
AT1G53640	370	4656
AT2G25210	1845	697
AT1G03230	274	1869
AT2G30360	61	1866
AT1G30784	2	554
AT4G16265	91	1897
AT2G29120	2	4701
AT5G04610	35	1340
AT1G71697	185	2496
AT3G20865	4	458
AT1G13440	8126	2801
AT5G24980	78	982
AT4G14819	1	526
AT2G27510	1442	1633
AT1G23150	11	1069
AT4G38775	51	512
AT5G36740	683	5711
AT1G68550	1061	2246
AT4G38810	342	3877
AT2G33793	203	3583
AT3G12630	1010	1476
AT4G27960	644	1969
AT4G00580	38	2479
AT1G01230	304	1828
AT5G12410	988	2403
AT1G77720	618	3639
AT2G37640	83	2616
AT2G23950	254	3601
AT5G06050	781	3745
AT2G18960	6444	6108
AT5G14285	163	1091
AT2G36295	1	886
AT5G23070	263	1186
AT3G52200	1101	6288
AT1G04360	54	1746
AT1G31150	708	2848
AT4G08090	1	3197
AT4G24790	401	4248
AT4G24100	125	4942
AT3G10360	597	4737
AT1G25510	1075	2096
AT3G05720	23	4238
AT4G21620	4049	952
AT3G58800	222	1700
AT1G27190	1281	2449
AT1G60870	266	1556
AT5G33300	217	3354
AT2G31590	1	1304
AT3G11420	370	3338
AT3G15440	6	711
AT1G02330	516	1672
AT4G31610	347	2547
AT4G32950	3	2017
AT5G15460	248	2246
AT3G50020	132	630
AT4G28060	597	1992
AT1G79350	980	8845
AT5G10790	294	2951
AT2G15180	29	1424
AT1G76340	476	2087
AT1G58100	572	1857
AT1G01530	7	1036
AT1G64385	627	2287
AT1G13680	69	2548
AT1G55280	36	1855
AT3G50200	22	1169
AT4G34110	8718	4023
AT1G01940	268	2031
AT4G31400	84	2132
AT3G61570	165	4497
AT1G53840	1595	2391
AT5G03070	282	3423
AT1G10630	1684	2085
AT1G72670	368	2404
AT4G31350	587	3596
AT2G31190	238	2608
AT4G22340	96	3670
AT1G03750	184	3336
AT5G22800	438	4531
AT5G12030	20	881
AT2G35736	78	782
AT3G02365	45	295
AT2G42980	40	1774
AT4G00840	198	2085
AT2G14910	496	2778
AT3G07580	98	1987
AT2G35210	4	2089
AT3G63170	172	1507
AT2G20940	311	907
AT5G21280	5	2046
AT5G61865	80	2808
AT5G23575	1688	3968
AT5G54640	1080	1205
AT3G03890	119	3245
AT3G06490	9	3334
AT5G52800	36	3475
AT4G24500	169	2234
AT2G34490	143	2050
AT5G23050	759	4345
AT5G13050	285	2236
AT3G49840	139	2530
AT5G25250	5	1956
AT5G58020	717	1322
AT3G47380	21	985
AT5G05435	18	1355
AT2G27900	1154	8583
AT1G78400	62	1488
AT5G11500	1659	3173
AT3G15260	370	4177
AT4G11910	10	1897
AT5G57700	428	2356
AT2G07613	2	444
AT3G06600	41	4890
AT3G02040	524	1843
AT5G01460	1008	4007
AT3G11010	123	3288
AT4G03705	31	213
AT1G64640	129	1139
AT2G02630	2	2055
AT5G56970	21	3453
AT3G59040	314	3076
AT2G03670	205	2973
AT1G58350	384	4738
AT1G16080	337	1765
AT5G54840	10	2080
AT5G20910	168	1991
AT4G13790	2	856
AT3G59760	697	3468
AT5G01935	210	1445
AT2G48020	73	3341
AT5G49400	425	1631
AT2G09490	13	476
AT1G21100	1	1750
AT1G50770	48	2044
AT1G16830	64	1993
AT5G43620	40	1517
AT1G64740	306	2481
AT1G75340	366	3111
AT5G10700	68	814
AT5G02870	11832	2125
AT3G63445	331	3685
AT1G58643	3	2810
AT1G52000	218	3047
AT2G20280	885	2910
AT5G48385	3551	3517
AT5G40080	323	1787
AT2G08685	14	397
AT1G16270	739	5507
AT2G07811	13	619
AT3G16780	1158	1753
AT5G06250	118	2390
AT3G11230	103	1907
AT2G08440	3	293
AT2G47620	430	2524
AT4G08160	11	3834
AT3G05500	599	1917
AT5G03430	463	4282
AT3G08795	160	258
AT1G69800	316	2141
AT2G21840	9	3334
AT5G14450	98	1734
AT1G72560	529	5664
AT3G05280	621	2032
AT2G07095	1	691
AT5G50820	64	1052
AT5G53330	346	1747
AT5G52547	214	1635
AT5G25480	166	2397
AT2G08820	2	757
AT5G09710	3	3640
AT1G73040	6	902
AT5G41109	8	140
AT4G00800	905	8981
AT2G36230	239	1864
AT4G10180	741	2903
AT5G57340	8	3347
AT5G36330	501	1111
AT1G30110	52	2214
AT1G17850	415	3014
AT5G18030	14	838
AT5G50580	1510	2412
AT5G15710	299	2455
AT5G24930	2166	1492
AT5G15533	26	179
AT2G35585	28	1467
AT2G26670	183	2145
AT1G01750	22	1122
AT5G16420	128	2271
AT3G08810	12	1238
AT1G17240	8	2546
AT4G14305	43	1651
AT1G15690	8038	3743
AT4G37540	148	1532
AT4G22970	359	10289
AT5G15260	157	2089
AT3G08130	2	338
AT1G19750	64	3500
AT2G08570	2	321
AT1G26840	99	2130
AT2G44070	13	1765
AT5G40645	26	710
AT5G59150	486	2003
AT2G24110	39	1045
AT1G55520	570	2621
AT1G66720	3	1300
AT4G39390	286	2681
AT2G09745	3	382
AT1G18250	4720	1481
AT4G14720	610	3132
AT4G08310	949	3521
AT5G09855	389	257
AT2G20700	424	910
AT1G61800	17	2488
AT3G62000	103	2268
AT5G22930	33	1780
AT3G62390	272	2368
AT3G30396	1	2480
AT3G33520	307	1932
AT1G29070	481	1616
AT4G33470	77	2955
AT3G20015	355	2046
AT2G43400	354	4183
AT1G74870	2	1862
AT2G14825	101	1682
AT3G55660	637	2654
AT2G43945	159	2376
AT3G46650	6	2368
AT3G10650	1776	6175
AT4G21320	97	1713
AT4G37410	1	2148
AT5G56170	576	1440
AT3G16280	17	1060
AT2G25540	950	5421
AT1G80270	1500	2654
AT3G44010	3822	1746
AT2G28890	329	2848
AT1G56350	150	3304
AT1G29940	994	7817
AT5G35360	2680	4392
AT2G33800	1127	1824
AT1G56680	4	1240
AT2G47450	731	1814
AT3G45000	1	1304
AT3G13784	9	2351
AT1G15080	44	2124
AT1G14030	166	2211
AT1G71890	1922	2405
AT3G62620	266	2293
AT4G20150	1604	1680
AT2G28560	39	3265
AT1G23730	88	2878
AT1G18265	5	1115
AT1G70490	3686	2093
AT2G18670	11	1603
AT4G00975	39	1285
AT2G38550	1049	2699
AT5G16410	1	2015
AT3G47910	1485	7442
AT1G56385	79	552
AT1G08410	427	3296
AT4G14695	115	1475
AT2G33520	3	974
AT4G04435	82	935
AT4G21780	1	1364
AT1G59910	578	3405
AT1G68620	21	1522
AT3G26085	90	1927
AT1G71300	17	4255
AT1G67325	461	3859
AT1G73400	84	2248
AT1G47128	1279	3000
AT2G22040	1	1822
AT3G44690	212	3625
AT5G04740	606	3639
AT5G02320	141	3680
AT5G17880	238	4483
AT4G10600	7	1643
AT3G05200	59	1890
AT5G66140	587	1601
AT4G34490	875	3085
AT1G11740	2	3796
AT5G57070	28	2578
AT1G50180	11	3172
AT2G38540	15633	950
AT1G57660	5238	1162
AT1G01430	368	2346
AT3G28007	3079	1904
AT4G39917	46	389
AT2G26660	268	2198
AT4G20740	162	2776
AT5G16710	303	1925
AT1G12080	1127	1023
AT3G62499	20	305
AT3G56870	240	3287
AT2G04037	138	588
AT1G70430	10	3884
AT3G09525	84	1463
AT5G41970	1087	2110
AT5G05975	105	218
AT5G15050	157	2152
AT1G48210	766	3899
AT3G48480	75	2188
AT1G20410	361	3753
AT3G22800	8	1937
AT5G50150	340	4514
AT1G56000	239	2582
AT3G03870	192	2348
AT4G17970	1	2658
AT4G05631	49	2612
AT3G07400	291	5223
AT5G08550	599	4640
AT3G43110	6	1000
AT3G21740	271	1912
AT3G05570	246	1237
AT5G07350	2496	5541
AT5G64920	521	1554
AT3G15200	88	1571
AT3G08660	8	2494
AT3G52840	46	5305
AT1G78430	254	2070
AT5G53580	175	2076
AT3G56360	273	1415
AT5G48545	73	2742
AT1G04070	311	689
AT5G65230	29	1540
AT1G73065	2	437
AT3G10740	451	5028
AT1G01480	2	2700
AT1G21500	189	1403
AT5G10910	253	2191
AT5G04140	114	8703
AT1G28765	22	2598
AT3G05310	7	3141
AT4G30160	903	6957
AT5G60620	516	2648
AT1G13630	79	3648
AT5G64120	1	1750
AT4G34950	279	2786
AT5G51080	168	2290
AT3G45900	281	2214
AT1G09223	83	219
AT5G15470	314	3809
AT3G10986	1	1695
AT4G16580	399	2154
AT5G13750	92	3897
AT5G54710	2	3095
